ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tcp,udp
2024-12-09 19:16:55.456057,1,192.168.1.17,22367,52.182.143.209,443,S0,1,54,0,0,True,False
2024-12-09 19:16:55.475581,2,,60480,,53,S0,1,118,1,232,False,False
2024-12-09 19:16:55.475658,3,,49354,,53,S0,1,118,1,281,False,False
2024-12-09 19:16:55.498770,4,,53,,60480,S0,1,232,0,0,False,False
2024-12-09 19:16:55.498770,5,,53,,49354,S0,1,281,0,0,False,False
2024-12-09 19:16:55.499630,6,192.168.1.17,22510,140.82.113.21,443,S0,3,691,1,66,True,False
2024-12-09 19:16:55.570628,8,140.82.113.21,443,192.168.1.17,22510,S0,1,66,2,625,True,False
2024-12-09 19:16:55.570733,9,192.168.1.17,22510,140.82.113.21,443,S0,3,691,1,66,True,False
2024-12-09 19:16:55.571046,10,192.168.1.17,22510,140.82.113.21,443,S0,3,691,1,66,True,False
